AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.49825106204414443,0.0,0.5,0.6666666666666666,0.5019703797687272,0,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,train,11
0.4998337950138504,0.0,0.5,0.6666666666666666,0.5000393967374577,0,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,val,11
0.49994459833795013,0.0,0.5,0.6666666666666666,0.5,0,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,test,11
0.4952673851343911,0.0,0.5,0.0,0.4940775530756703,1,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,train,12
0.49988919667590026,0.0,0.5,0.0,0.5001051996753321,1,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,val,12
0.5000554016620499,0.0,0.5,0.0,0.5000510986203373,1,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,test,12
0.4965270900205382,0.0,0.5,0.0,0.500567150572399,2,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,train,17
0.5,0.0,0.5,0.0,0.5000000000000001,2,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,val,17
0.5,0.0,0.5,0.0,0.5,2,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,test,17
0.49772743881610554,0.0,0.5,0.6666666666666666,0.4998657356244055,3,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,train,11
0.5000554016620499,0.0,0.5,0.6666666666666666,0.500080971659919,3,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,val,11
0.49994459833795013,0.0,0.5,0.6666666666666666,0.5,3,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,test,11
0.48533904562681185,-0.008451111379132075,0.49597469810235767,0.5625155977040179,0.4863360834685663,4,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,train,12
0.49994459833795013,0.0,0.5,0.6058091286307054,0.5,4,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,val,12
0.49999999999999994,0.0,0.5,0.5739910313901345,0.5004784688995215,4,chemprop,exp_0_neg_control_no_stereo_singletask,R/S_class,test,12
0.4892881270293087,0.0,0.5,0.6666666666666666,0.49088255481135845,0,chemprop,exp_0_neg_control_no_stereo_singletask,@/@@_class,train,13
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,0,chemprop,exp_0_neg_control_no_stereo_singletask,@/@@_class,val,13
0.49994459833795013,0.0,0.5,0.6666666666666666,0.5,0,chemprop,exp_0_neg_control_no_stereo_singletask,@/@@_class,test,13
0.5024625337412094,0.0,0.5,0.6666666666666666,0.5047364448531686,1,chemprop,exp_0_neg_control_no_stereo_singletask,@/@@_class,train,15
