AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target
0.9403878116343489,0.6746192341692543,0.8368421052631579,0.841025641025641,0.9421852864290878,0,RF,morgan_count_chiral,R/S_class
0.9385595567867037,0.7052631578947368,0.8526315789473684,0.8526315789473684,0.9460380468659303,1,RF,morgan_count_chiral,R/S_class
0.950027700831025,0.7167829363048326,0.8578947368421053,0.8540540540540541,0.9495774230813582,2,RF,morgan_count_chiral,R/S_class
0.934016620498615,0.6631578947368421,0.8315789473684211,0.8315789473684211,0.9377967632369998,3,RF,morgan_count_chiral,R/S_class
0.9581163434903046,0.7052631578947368,0.8526315789473684,0.8526315789473684,0.9606538334195098,4,RF,morgan_count_chiral,R/S_class
0.8243767313019391,0.48445214165180484,0.7421052631578947,0.7461139896373057,0.8405989899953181,0,RF,morgan_count_chiral,@/@@_class
0.8322991689750693,0.4948465155364719,0.7473684210526316,0.75,0.8336914034358892,1,RF,morgan_count_chiral,@/@@_class
0.7750692520775624,0.32660542964119055,0.6631578947368421,0.6701030927835051,0.7984767490099091,2,RF,morgan_count_chiral,@/@@_class
0.8247645429362881,0.4216370213557839,0.7105263157894737,0.717948717948718,0.8358577455758873,3,RF,morgan_count_chiral,@/@@_class
0.7582271468144045,0.37248799980822556,0.6842105263157895,0.7058823529411765,0.744791887500736,4,RF,morgan_count_chiral,@/@@_class
0.8579501385041551,0.5159038140699388,0.7578947368421053,0.7553191489361702,0.8517488975765816,0,RF,morgan_count_chiral,F/L_class
0.8769529085872576,0.5473987486932372,0.7736842105263158,0.7724867724867724,0.8680048873510195,1,RF,morgan_count_chiral,F/L_class
0.8771191135734072,0.5687046880260318,0.7842105263157895,0.7875647668393783,0.8814816894134468,2,RF,morgan_count_chiral,F/L_class
0.8437119113573407,0.47410465593076045,0.7368421052631579,0.7311827956989247,0.8452288925498803,3,RF,morgan_count_chiral,F/L_class
0.8628254847645428,0.5473987486932372,0.7736842105263158,0.774869109947644,0.8597335196239908,4,RF,morgan_count_chiral,F/L_class
0.5,0.0,0.5,0.4808743169398907,0.5000000000000001,0,RF,morgan_count_no_chiral,R/S_class
0.5,0.0,0.5,0.4508670520231214,0.5000000000000001,1,RF,morgan_count_no_chiral,R/S_class
0.5,0.0,0.5,0.4973544973544973,0.5000000000000001,2,RF,morgan_count_no_chiral,R/S_class
0.5,0.0,0.5,0.5226130653266332,0.5000000000000001,3,RF,morgan_count_no_chiral,R/S_class
0.5,0.0,0.5,0.4864864864864865,0.5000000000000001,4,RF,morgan_count_no_chiral,R/S_class
0.5,0.0,0.5,0.47513812154696133,0.5000000000000001,0,RF,morgan_count_no_chiral,@/@@_class
