,SMILES,SMILES_opp,TR/TE,F/L_class,@/@@_class,R/S_class
0,Brc1ccc2c(c1)N[C@H](c1ccccc1)CC2,Brc1ccc2c(c1)N[C@@H](c1ccccc1)CC2,TE,F,@,S
1,Brc1ccc2c(c1)N[C@@H](c1ccccc1)CC2,Brc1ccc2c(c1)N[C@H](c1ccccc1)CC2,TE,L,@@,R
2,C#CCO[C@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,C#CCO[C@@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,TE,F,@,S
3,C#CCO[C@@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,C#CCO[C@H](CSc1nc2cc(Cl)ccc2s1)CN(C)C(c1ccccc1)c1ccccc1,TE,L,@@,R
4,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,TE,F,@@,R
5,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)OCC,TE,L,@,S
6,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,TE,F,@@,R
7,C=C(C(C)=O)[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,C=C(C(C)=O)[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)OCC,TE,L,@,S
8,C=C(C[C@@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,C=C(C[C@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,TE,F,@@,R
9,C=C(C[C@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,C=C(C[C@@]1(C(F)(F)F)C=C(c2ccccc2)c2cc(Br)ccc21)C(=O)OC,TE,L,@,S
10,C=C1C=C[C@]2(C(=O)N(C)c3cc(C(=O)N(CC)CC)ccc32)c2ccccc21,C=C1C=C[C@@]2(C(=O)N(C)c3cc(C(=O)N(CC)CC)ccc32)c2ccccc21,TE,F,@,S
11,C=C1C=C[C@@]2(C(=O)N(C)c3cc(C(=O)N(CC)CC)ccc32)c2ccccc21,C=C1C=C[C@]2(C(=O)N(C)c3cc(C(=O)N(CC)CC)ccc32)c2ccccc21,TE,L,@@,R
